number,value,params,datetime_start,datetime_complete
32,0.0373946089651652,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 60, 'n_units_l1': 50, 'n_units_l2': 90, 'n_units_l3': 90, 'n_units_l4': 70, 'n_units_l5': 80, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 14:49:45.192976,2024-03-20 15:06:12.593127
33,0.04138226773517977,"{'batch_size': 64, 'n_layers': 11, 'n_units_l0': 60, 'n_units_l1': 80, 'n_units_l2': 60, 'n_units_l3': 100, 'n_units_l4': 70, 'n_units_l5': 90, 'n_units_l6': 70, 'n_units_l7': 90, 'n_units_l8': 40, 'n_units_l9': 40, 'n_units_l10': 30, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-20 15:06:12.594111,2024-03-20 15:36:13.082359
34,0.03933350138655055,"{'batch_size': 16, 'n_layers': 9, 'n_units_l0': 50, 'n_units_l1': 30, 'n_units_l2': 90, 'n_units_l3': 100, 'n_units_l4': 30, 'n_units_l5': 50, 'n_units_l6': 70, 'n_units_l7': 50, 'n_units_l8': 40, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 15:36:13.083363,2024-03-20 17:29:57.469470
35,0.036935037859353745,"{'batch_size': 16, 'n_layers': 7, 'n_units_l0': 50, 'n_units_l1': 80, 'n_units_l2': 80, 'n_units_l3': 60, 'n_units_l4': 50, 'n_units_l5': 40, 'n_units_l6': 60, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 17:29:57.470497,2024-03-20 19:50:00.353353
36,0.030275284390306967,"{'batch_size': 256, 'n_layers': 10, 'n_units_l0': 50, 'n_units_l1': 100, 'n_units_l2': 30, 'n_units_l3': 90, 'n_units_l4': 80, 'n_units_l5': 70, 'n_units_l6': 80, 'n_units_l7': 80, 'n_units_l8': 80, 'n_units_l9': 40, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 19:50:00.354377,2024-03-20 20:01:50.534615
37,0.6460988001907588,"{'batch_size': 16, 'n_layers': 12, 'n_units_l0': 100, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 70, 'n_units_l4': 70, 'n_units_l5': 50, 'n_units_l6': 60, 'n_units_l7': 30, 'n_units_l8': 50, 'n_units_l9': 30, 'n_units_l10': 30, 'n_units_l11': 30, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 20:01:50.535622,2024-03-20 20:35:01.187084
38,0.021850814841694655,"{'batch_size': 256, 'n_layers': 7, 'n_units_l0': 50, 'n_units_l1': 100, 'n_units_l2': 40, 'n_units_l3': 70, 'n_units_l4': 30, 'n_units_l5': 40, 'n_units_l6': 60, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 20:35:01.188109,2024-03-20 20:45:01.439150
39,0.6461234924104942,"{'batch_size': 16, 'n_layers': 13, 'n_units_l0': 30, 'n_units_l1': 30, 'n_units_l2': 30, 'n_units_l3': 40, 'n_units_l4': 80, 'n_units_l5': 60, 'n_units_l6': 100, 'n_units_l7': 90, 'n_units_l8': 60, 'n_units_l9': 100, 'n_units_l10': 30, 'n_units_l11': 90, 'n_units_l12': 60, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 20:45:01.440150,2024-03-20 21:21:45.582226
40,0.02349696473684236,"{'batch_size': 64, 'n_layers': 7, 'n_units_l0': 30, 'n_units_l1': 40, 'n_units_l2': 30, 'n_units_l3': 100, 'n_units_l4': 30, 'n_units_l5': 30, 'n_units_l6': 50, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 21:21:45.583247,2024-03-20 21:58:19.080484
41,0.6461148187026493,"{'batch_size': 128, 'n_layers': 10, 'n_units_l0': 100, 'n_units_l1': 30, 'n_units_l2': 100, 'n_units_l3': 100, 'n_units_l4': 90, 'n_units_l5': 80, 'n_units_l6': 100, 'n_units_l7': 70, 'n_units_l8': 70, 'n_units_l9': 60, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 21:58:19.081469,2024-03-20 22:03:09.982896
